[2024-04-27  15:20:48.701] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '192', '2', '0', '0', '0', '0', 'S', '[qseecom-unreg-l]'])
[2024-04-27  15:20:48.701] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '193', '2', '0', '0', '0', '0', 'S', '[qseecom-unload-]'])
[2024-04-27  15:20:48.701] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '195', '2', '0', '0', '0', '0', 'S', '[irq/20-arm-smmu]'])
[2024-04-27  15:20:48.701] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '196', '2', '0', '0', '0', '0', 'S', '[irq/105-pwr_eve]'])
[2024-04-27  15:20:48.701] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '197', '2', '0', '0', '0', '0', 'S', '[irq/104-dp_hs_p]'])
[2024-04-27  15:20:48.701] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '198', '2', '0', '0', '0', '0', 'S', '[irq/107-dm_hs_p]'])
[2024-04-27  15:20:48.702] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '199', '2', '0', '0', '0', '0', 'S', '[irq/106-ss_phy_]'])
[2024-04-27  15:20:48.702] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '200', '2', '0', '0', '0', '0', 'S', '[irq/21-arm-smmu]'])
[2024-04-27  15:20:48.702] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '201', '2', '0', '0', '0', '0', 'S', '[irq/109-pwr_eve]'])
[2024-04-27  15:20:48.702] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '202', '2', '0', '0', '0', '0', 'S', '[irq/108-dp_hs_p]'])
[2024-04-27  15:20:48.702] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '203', '2', '0', '0', '0', '0', 'S', '[irq/111-dm_hs_p]'])
[2024-04-27  15:20:48.702] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '204', '2', '0', '0', '0', '0', 'S', '[irq/110-ss_phy_]'])
